股票代码,公司,PDF页码,记录类型,事件类型,日期,主体名称,证据摘要,来源文件,JSONL行号,是否有截图
301563,云汉芯城（上海）互联网科技股份有限公司,62,subscription_flow,增资,2020-05-20,火炬电子,"2020年5月，火炬电子以现金5,000万元认购新增股份113.0488万股，增资价格约44.23元/股。投后估值约21亿元。",subscription_flow_gold.jsonl,84,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，曾烨将其持有的发行人480,000股股份转让予鸿迪投资，转让价格2,476.80万元，每股价格约51.6元。",share_transfer_flow_gold.jsonl,8,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，曾烨将其持有的发行人484,495股股份转让予郦韩英，转让价格2,499.99万元。",share_transfer_flow_gold.jsonl,9,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人116,280股股份转让予福建开京，转让价格600万元。",share_transfer_flow_gold.jsonl,10,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予沈笑彦，转让价格438.60万元。",share_transfer_flow_gold.jsonl,11,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予衣嘉平，转让价格438.60万元。",share_transfer_flow_gold.jsonl,12,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予余满芬，转让价格438.60万元。",share_transfer_flow_gold.jsonl,13,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人38,760股股份转让予崔振南，转让价格200万元。",share_transfer_flow_gold.jsonl,14,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予湘裕君源，转让价格438.60万元。",share_transfer_flow_gold.jsonl,15,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，李文发将其持有的发行人50,000股股份转让予湘裕君源，转让价格258万元。",share_transfer_flow_gold.jsonl,16,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，秦国君将其持有的发行人150,000股股份转让予湘裕君源，转让价格774万元。",share_transfer_flow_gold.jsonl,17,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,subscription_flow,增资,2020-09-15,厦门西堤,"2020年9月，厦门西堤以5,000万元认购公司新增股份96.899万股，增资价格约51.6元/股。投后估值约25.2亿元。",subscription_flow_gold.jsonl,85,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,subscription_flow,增资,2020-09-15,中小企业基金,"2020年9月，中小企业基金以2,000万元认购新增股份38.7596万股，增资价格约51.6元/股。",subscription_flow_gold.jsonl,86,是
301563,云汉芯城（上海）互联网科技股份有限公司,64,cross_check,flow_to_stock,,301563_CC_005,,cross_check_gold.jsonl,21,是
301563,云汉芯城（上海）互联网科技股份有限公司,64,cross_check,stock_internal,,301563_CC_006,,cross_check_gold.jsonl,22,是
301563,云汉芯城（上海）互联网科技股份有限公司,64,equity_snapshot,,2020-09-23,s4|2020年9月第三次增资后,"2020年9月，厦门西堤认购96.899万股、中小企业基金认购38.7596万股（价格约51.6元/股）。同时曾烨、刘云锋、李文发、秦国君转让约165.95万股。增资+转让后总股本4,883.7074...",equity_snapshot_gold.jsonl,29,是
301581,黄山谷捷股份有限公司,40,cross_check,flow_to_stock,,301581_CC_001,,cross_check_gold.jsonl,3,是
301581,黄山谷捷股份有限公司,40,equity_snapshot,,2012-06-01,t0|有限公司设立,"黄山谷捷散热科技有限公司设立，注册资本1,000万元，由昆山谷捷出资设立",equity_snapshot_gold.jsonl,5,是
301581,黄山谷捷股份有限公司,40,equity_snapshot,,2021-04-07,t1|第一次股权转让后,"2021年4月，谷捷有限吸收合并昆山谷捷，注册资本变为1,200万元，各股东持股比例不变。黄山供销集团78%、张俊武11%、周斌11%",equity_snapshot_gold.jsonl,6,是
301581,黄山谷捷股份有限公司,40,share_transfer_flow,,,,2021年4月3日，昆山谷捷将其所持谷捷有限78%股权以零对价转让给黄山供销集团。本次股权转让完成后，昆山谷捷不再持有发行人股权。,share_transfer_flow_gold.jsonl,18,是
301581,黄山谷捷股份有限公司,40,subscription_flow,增资（吸收合并）,2021-04-03,昆山谷捷（吸收合并）,"2021年4月，谷捷有限吸收合并昆山谷捷，注册资本由1,000万元增至1,200万元。",subscription_flow_gold.jsonl,10,是
301581,黄山谷捷股份有限公司,42,cross_check,flow_to_stock,,301581_CC_002,,cross_check_gold.jsonl,4,是
301581,黄山谷捷股份有限公司,42,equity_snapshot,,2021-11-11,t2|第一次增资后,本次增资完成后，黄山供销集团936万元(54.60%)、赛格高技术462.8571万元(27.00%)、张俊武132万元(7.70%)、周斌132万元(7.70%)、上汽科技51.4286万元(3.0...,equity_snapshot_gold.jsonl,7,是
301581,黄山谷捷股份有限公司,42,subscription_flow,增资,2021-09-18,赛格高技术,2021年9月18日，赛格高技术与谷捷有限签署增资协议，认缴462.8571万元新增注册资本，增资价格为22.42元/注册资本。,subscription_flow_gold.jsonl,11,是
301581,黄山谷捷股份有限公司,43,share_transfer_flow,,,,2021年4月3日，昆山谷捷将其所持谷捷有限11%股权以零对价转让给张俊武。,share_transfer_flow_gold.jsonl,19,是
301581,黄山谷捷股份有限公司,43,share_transfer_flow,,,,2021年4月3日，昆山谷捷将其所持谷捷有限11%股权以零对价转让给周斌。,share_transfer_flow_gold.jsonl,20,是
301581,黄山谷捷股份有限公司,43,subscription_flow,增资,2021-09-18,上汽科技,2021年9月18日，上汽科技与谷捷有限签署增资协议，认缴51.4286万元新增注册资本，增资价格为22.42元/注册资本。,subscription_flow_gold.jsonl,12,是
301581,黄山谷捷股份有限公司,44,cross_check,flow_to_stock,,301581_CC_003,,cross_check_gold.jsonl,5,是
301581,黄山谷捷股份有限公司,44,equity_snapshot,,2022-05-26,t3|第二次增资后,本次增资完成后，黄山供销集团936万元(51.87%)、赛格高技术462.8571万元(25.65%)、张俊武132万元(7.315%)、周斌132万元(7.315%)、黄山佳捷90.2256万元(5...,equity_snapshot_gold.jsonl,8,是
301581,黄山谷捷股份有限公司,44,subscription_flow,增资,2022-05-24,黄山佳捷,2022年5月24日，谷捷有限与黄山佳捷签署增资扩股协议，新增注册资本90.2256万元由黄山佳捷全额认缴，增资价格为23.55元/注册资本。,subscription_flow_gold.jsonl,13,是
603418,上海友升铝业股份有限公司,43,cross_check,flow_to_stock,,603418_CC_001,,cross_check_gold.jsonl,6,是
603418,上海友升铝业股份有限公司,43,equity_snapshot,,2020-09-18,t0+｜整体变更后,"整体变更后，友升股份的股权结构如下：泽升贸易8,976.00万股(74.80%)、达晨创联基金1,800.00万股(15.00%)、共青城泽升1,020.00万股(8.50%)、罗世兵204.00万股...",equity_snapshot_gold.jsonl,10,是
603418,上海友升铝业股份有限公司,43,share_transfer_flow,,,,"2020年9月18日，友升有限整体变更为股份有限公司，以截至2020年7月31日经审计的净资产10,950.2788万元折合为股本12,000万股，每股面值1元。各股东按原持股比例转换为股份公司股份，...",share_transfer_flow_gold.jsonl,29,是
603418,上海友升铝业股份有限公司,43,subscription_flow,整体变更,2020-09-18,整体变更折股,"2020年9月18日，友升有限整体变更为股份有限公司，以截至2020年7月31日经审计的净资产10,950.28万元折合为股本12,000万股，每股面值1元，净资产超出股本部分计入资本公积。",subscription_flow_gold.jsonl,14,是
603418,上海友升铝业股份有限公司,44,cross_check,flow_to_stock,,603418_CC_002,,cross_check_gold.jsonl,7,是
603418,上海友升铝业股份有限公司,44,equity_snapshot,,2020-01-01,t0｜报告期初,"报告期初，友升有限的股权结构如下：泽升贸易出资8,190.8086万元(74.80%)、达晨创联基金出资1,642.5418万元(15.00%)、共青城泽升出资930.7737万元(8.50%)、罗世...",equity_snapshot_gold.jsonl,9,是
603418,上海友升铝业股份有限公司,44,equity_snapshot,,2020-09-30,t1｜2020-09-30增资后,"本次增资后股权结构如下：泽升贸易8,976.00万股(67.09%)、达晨创联基金1,800.00万股(13.45%)、共青城泽升1,020.00万股(7.62%)、罗世兵204.00万股(1.52%...",equity_snapshot_gold.jsonl,11,是
603418,上海友升铝业股份有限公司,44,subscription_flow,增资,2020-09-27,金浦临港基金,"2020年9月27日，金浦临港基金以7,000万元认购新增注册资本840万元。",subscription_flow_gold.jsonl,15,是
603418,上海友升铝业股份有限公司,44,subscription_flow,增资,2020-09-27,金浦科创基金,"2020年9月27日，金浦科创基金以3,000万元认购新增注册资本360万元。",subscription_flow_gold.jsonl,16,是
603418,上海友升铝业股份有限公司,44,subscription_flow,增资,2020-09-27,上海骁墨,"2020年9月27日，上海骁墨以1,500万元认购新增注册资本180万元。",subscription_flow_gold.jsonl,17,是
603418,上海友升铝业股份有限公司,45,cross_check,flow_to_stock,,603418_CC_003,,cross_check_gold.jsonl,8,是
603418,上海友升铝业股份有限公司,45,equity_snapshot,,2022-12-19,t2｜2022-12-19增资后,"本次增资后，公司总股本为14,480.1333万股",equity_snapshot_gold.jsonl,12,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,杉晖创业,"2022年12月19日，杉晖创业认购297.3333万股新增股本，认购金额10,000万元。",subscription_flow_gold.jsonl,18,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,上海联炻,"2022年12月19日，上海联炻认购297.3333万股新增股本，认购金额10,000万元。",subscription_flow_gold.jsonl,19,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,安吉璞颉,"2022年12月19日，安吉璞颉认购148.6667万股新增股本，认购金额5,000万元。",subscription_flow_gold.jsonl,20,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,财投晨源,"2022年12月19日，财投晨源认购89.2万股新增股本，认购金额3,000万元。",subscription_flow_gold.jsonl,21,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,深圳达晨创程,"2022年12月19日，深圳达晨创程认购86.5984万股新增股本，认购金额2,912.5万元。",subscription_flow_gold.jsonl,22,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,杉创智至,"2022年12月19日，杉创智至认购59.4667万股新增股本，认购金额2,000万元。",subscription_flow_gold.jsonl,23,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,杭州达晨创程,"2022年12月19日，杭州达晨创程认购51.959万股新增股本，认购金额1,747.5万元。",subscription_flow_gold.jsonl,24,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,达晨财汇,"2022年12月19日，达晨财汇认购29.7333万股新增股本，认购金额1,000万元。",subscription_flow_gold.jsonl,25,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,达晨财智,"2022年12月19日，达晨财智认购29.7333万股新增股本，认购金额1,000万元。",subscription_flow_gold.jsonl,26,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,财智创赢,2022年12月19日，财智创赢认购10.1093万股新增股本，认购金额340万元。,subscription_flow_gold.jsonl,27,是
688758,苏州赛分科技股份有限公司,50,equity_snapshot,,2021-01-01,t0|报告期初,报告期期初赛分有限股权结构：黄学英883.3911万元(36.69%)、周金清280万元(11.63%)、陆民257.4万元(10.69%)、高新同华248万元(10.30%)、华泰大健康一号175....,equity_snapshot_gold.jsonl,13,是
688758,苏州赛分科技股份有限公司,51,cross_check,flow_to_stock,,688758_CC_001,,cross_check_gold.jsonl,9,是
688758,苏州赛分科技股份有限公司,51,equity_snapshot,,2021-04-20,t1|第一次增资后,"本次增资和股权转让完成后，总股本2,750.6769万元，黄学英825.1668万元(29.9987%)、周金清280万元(10.1793%)、陆民257.4万元(9.3577%)、国寿疌泉250.0...",equity_snapshot_gold.jsonl,14,是
688758,苏州赛分科技股份有限公司,51,equity_snapshot,,2009-03-16,t_setup|2009年公司设立,"2009年3月，赛分有限设立。黄学英900万元(90%)、沈建林50万元(5%)、潘鼎50万元(5%)，合计注册资本1,000万元。",equity_snapshot_gold.jsonl,30,是
688758,苏州赛分科技股份有限公司,51,share_transfer_flow,,,,"2021年2月24日，黄学英与复星惟盈签署《股权转让协议》，将其持有的赛分有限37.3190万元注册资本转让给复星惟盈，对价3,000万元。折算价格约80.39元/注册资本。",share_transfer_flow_gold.jsonl,21,是
688758,苏州赛分科技股份有限公司,51,share_transfer_flow,,,,2021年2月24日，黄学英将其持有的赛分有限19.4081万元注册资本转让给朱勤华。,share_transfer_flow_gold.jsonl,22,是
688758,苏州赛分科技股份有限公司,51,share_transfer_flow,,,,2021年2月24日，黄学英将其持有的赛分有限0.8872万元注册资本转让给唐斌。,share_transfer_flow_gold.jsonl,23,是
688758,苏州赛分科技股份有限公司,51,share_transfer_flow,,,,2021年2月24日，黄学英将其持有的赛分有限0.6100万元注册资本转让给张敏。,share_transfer_flow_gold.jsonl,24,是
688758,苏州赛分科技股份有限公司,51,subscription_flow,增资,2021-02-26,复星惟盈,"2021年2月26日，复星惟盈与赛分有限签署增资协议，认缴新增注册资本89.0431万元，增资金额4,807.1429万元。增资价格为53.99元/注册资本。",subscription_flow_gold.jsonl,28,是
688758,苏州赛分科技股份有限公司,51,subscription_flow,增资,2021-02-26,唐斌,2021年2月26日，唐斌与赛分有限签署增资协议，认缴新增注册资本2.1169万元，增资金额114.2857万元。增资价格为53.99元/注册资本。,subscription_flow_gold.jsonl,29,是
688758,苏州赛分科技股份有限公司,51,subscription_flow,增资,2021-02-26,张敏,2021年2月26日，张敏与赛分有限签署增资协议，认缴新增注册资本1.4554万元，增资金额78.5714万元。增资价格为53.99元/注册资本。,subscription_flow_gold.jsonl,30,是
688758,苏州赛分科技股份有限公司,51,subscription_flow,增资,2021-02-26,国寿疌泉,"2021年2月26日，国寿疌泉与赛分有限签署增资协议，认缴新增注册资本250.0615万元，增资金额约13,500万元。增资价格为53.99元/注册资本。",subscription_flow_gold.jsonl,31,是
688758,苏州赛分科技股份有限公司,52,equity_snapshot,,2021-09-16,t_restructure|2021年整体变更后,"2021年9月，赛分有限整体变更为股份有限公司。以经审计净资产29,580.07万元按10.7537:1比例折为27,506,769股。各股东按原出资比例持有股份。",equity_snapshot_gold.jsonl,31,是
688775,影石创新科技股份有限公司,65,cross_check,flow_to_stock,,688775_CC_001,,cross_check_gold.jsonl,10,是
688775,影石创新科技股份有限公司,65,cross_check,stock_internal,,688775_CC_003,,cross_check_gold.jsonl,18,是
688775,影石创新科技股份有限公司,65,equity_snapshot,,2018-01-01,t0|报告期初,报告期期初股权结构：刘靖康350万元(35%)、岚锋投资300万元(30%)、北京岚锋150万元(15%)、岚烽管理150万元(15%)、魏建奇50万元(5%),equity_snapshot_gold.jsonl,15,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,朗玛五号,"2019年4月，朗玛五号以货币出资1,000万元认购19.2308万元新增注册资本，增资价格为52元/注册资本。",subscription_flow_gold.jsonl,32,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,朗玛六号,"2019年4月，朗玛六号以货币出资1,000万元认购19.2308万元新增注册资本，增资价格为52元/注册资本。",subscription_flow_gold.jsonl,33,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,华金同达,"2019年4月，华金同达以货币出资1,000万元认购19.2308万元新增注册资本，增资价格为52元/注册资本。",subscription_flow_gold.jsonl,34,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,德朴投资,2019年4月，德朴投资以货币出资500万元认购9.6154万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,35,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,天正投资,2019年4月，天正投资以货币出资500万元认购9.6154万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,36,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,利得鑫投,2019年4月，利得鑫投以货币出资500万元认购9.6154万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,37,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,深圳麦高,2019年4月，深圳麦高以货币出资250万元认购4.8077万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,38,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,厦门富凯,2019年4月，厦门富凯以货币出资250万元认购4.8077万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,39,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,汇银加富,2019年4月，汇银加富以货币出资250万元认购4.8077万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,40,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,芜湖旷沄,2019年4月，芜湖旷沄以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,41,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,厦门源峰,2019年4月，厦门源峰以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,42,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,中证投资,2019年4月，中证投资以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,43,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,金石智娱,2019年4月，金石智娱以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,44,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,利得兴投,2019年4月，利得兴投以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,45,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,汇银雷石,2019年4月，汇银雷石以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,46,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,知盛投资,2019年4月，知盛投资以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,47,是
